VANE_TOTAL_COUNT_FLOAT,ID,VANE_TOTAL_COUNT,VANE_LEAN,T_VANE_REG,T_VANE_MNT,T_HUB_REG,T_HUB_MNT,T_OUTER_REG,T_OUTER_MNT,VANE_LE_RADIUS,AERO_BLOCKAGE,D_OUTER,D_HUB,VANE_CORDA_LENGTH,WL_SHROUD_ENABLED,WL_VANE_SHROUD_ENABLED,WL_VANE_HUB_ENABLED,WL_HUB_ENABLED,NX_FILE,MAX_DEFORMATION,MAX_STRESS,BLM_RAW_DATA,BUCKLING_LOAD_MULTIPLIER,VOLUME,WEIGHT,PDS_A,PDS_B,PDS_C,WSS_A,WSS_B,WSS_C
8,A,8,5.0000,2.0000,2.0000,2.0000,3.0000,2.0000,3.0000,12.0000,48183.3522,900.0000,400.0000,110.0,1,0,0,1,A,0.0493857,26.5783,201.7117,201.7117,4591241.5033,37.5104,1.0000000,0.7158043,0.6951952,1.0000000,0.9579476,0.4733325
13,B,13,10.0000,1.5000,2.8000,3.0000,4.0000,2.0000,3.0000,11.0000,97288.0237,1100.0000,430.0000,130.0,1,1,1,1,B,0.0350164,17.3329,257.2666018,257.2666,7195383.2630,58.7863,0.7155336,1.0000000,0.8132166,0.4801050,1.0000000,0.6840449
10,C,10,15.0000,2.5000,2.5000,3.0000,4.0000,3.0000,4.0000,12.0000,72055.2222,1000.0000,420.0000,120.0,1,1,1,0,C,0.0322599,21.62091675,456.4005042,456.4005,7177361.0830,58.6390,0.6941113,0.8129952,1.0000000,0.4753786,0.9431317,1.0000000
14.4737,0,14,13.6842,3.3421,2.7105,1.1053,3.0263,3.3947,1.6579,11.1849,109591.3181,1100.0000,420.0000,110.0,1,1,1,1,cii-000,0.0318,22.0672,-184.2301,184.2301,8465404.5152,69.1624,0.6485220,0.8965397,0.8803241,0.4749507,0.9258692,0.6889061
8.8684,1,8,1.2281,3.8421,3.1842,2.3421,2.8947,2.3947,2.5000,20.1408,109591.3181,1100.0000,420.0000,140.0,1,1,1,1,cii-001,0.0442,25.4903,-276.8746,276.8746,8126554.3067,66.3939,0.8098306,0.6812677,0.6269748,0.4696890,0.8636630,0.6160142
13.8421,2,13,3.5088,2.0526,2.8421,1.2895,2.4737,1.2632,2.2895,12.3740,109591.3181,1100.0000,420.0000,115.0,1,1,1,1,cii-002,0.0434,22.3611,155.1318,155.1318,6281165.4887,51.3171,0.7777149,0.8383232,0.6781227,0.4645562,0.9113748,0.6952229
11.7895,3,11,13.3333,2.9737,1.6053,1.7368,2.0526,3.8947,1.5789,14.2563,109591.3181,1100.0000,420.0000,125.0,1,1,1,1,cii-003,0.0313,21.7639,-157.9646,157.9646,7846108.2412,64.1027,0.6923805,0.8826323,0.9230032,0.4709503,0.9159850,0.6676434
11.2368,4,11,8.4211,2.4474,1.6316,3.9474,3.6842,2.2105,1.7895,14.4933,109591.3181,1100.0000,420.0000,125.0,1,1,1,1,cii-004,0.0363,19.2456,-168.9918,168.9918,6989373.0248,57.1032,0.7817854,0.9153658,0.8135295,0.4694305,0.9381430,0.6709399
13.2105,5,13,12.4561,2.3684,3.8684,1.6053,1.7895,1.9474,3.2105,12.1054,109591.3181,1100.0000,420.0000,115.0,1,1,1,1,cii-005,0.0362,22.1341,247.3263,247.3263,7574238.9255,61.8815,0.6793249,0.9388255,0.8701766,0.4845302,0.9079558,0.7016044
12.8158,6,12,14.0351,3.0000,1.0526,3.8947,1.5263,2.6842,2.3421,13.0294,109591.3181,1100.0000,420.0000,120.0,1,1,1,1,cii-006,0.0311,21.6477,-321.0685,321.0685,7726023.1334,63.1216,0.6682196,0.8877235,0.9210311,0.4680328,0.9213050,0.6710726
9.5000,7,9,4.0351,2.5789,1.4737,3.1579,2.5000,3.6053,2.8421,17.8627,109591.3181,1100.0000,420.0000,135.0,1,1,1,1,cii-007,0.0314,20.7861,374.4036,374.4036,7577106.9274,61.9050,0.8741581,0.7691303,0.7102447,0.4715736,0.9032002,0.6458500
12.1842,8,12,11.0526,3.9474,2.0526,3.5263,2.7632,1.6579,4.0000,13.1812,109591.3181,1100.0000,420.0000,120.0,1,1,1,1,cii-008,0.0367,17.9805,203.7905,203.7905,8887827.2389,72.6135,0.7162130,0.9497326,0.8558120,0.4717107,0.9085584,0.6839712
16.3684,9,16,15.2632,3.5000,2.5526,1.9211,1.6579,1.8421,3.2368,9.7174,109591.3181,1100.0000,420.0000,100.0,1,1,1,1,cii-009,0.0340,17.1670,239.5641,239.5641,8348963.7235,68.2110,0.6052135,0.8370368,0.8716945,0.4833313,0.8936352,0.6639869
12.5000,10,12,15.0877,1.6579,3.4737,3.4211,3.7632,1.8158,1.6842,12.9673,109591.3181,1100.0000,420.0000,120.0,1,1,1,1,cii-010,0.0406,18.0825,-150.3197,150.3197,6521411.0785,53.2799,0.6527810,0.8677276,0.9403276,0.4741048,0.9375421,0.6679714
12.1053,11,12,11.4035,1.2895,2.5789,2.0000,2.4474,1.8684,3.5526,13.1652,109591.3181,1100.0000,420.0000,120.0,1,1,1,1,cii-011,0.0408,21.2842,217.7390,217.7390,6038324.6508,49.3331,0.7102119,0.9419915,0.8634848,0.4809648,0.9315998,0.6823601
11.7105,12,11,7.3684,1.5526,2.1316,2.2632,3.6316,1.5263,1.5263,14.5303,109591.3181,1100.0000,420.0000,125.0,1,1,1,1,cii-012,0.0480,16.7920,-124.1990,124.1990,5480042.6785,44.7719,0.8040330,0.8900891,0.7900709,0.4020921,0.9140201,0.6181492
14.0000,13,14,12.9825,3.6579,2.5263,2.9211,1.8421,2.9737,2.0789,11.2174,109591.3181,1100.0000,420.0000,110.0,1,1,1,1,cii-013,0.0304,20.8377,-263.6464,263.6464,8816778.8023,72.0331,0.6586001,0.9103737,0.8655334,0.4917072,0.9311825,0.6967290
16.1316,14,16,17.8947,2.3158,3.3421,2.7105,1.7632,2.3421,1.9211,9.5854,109591.3181,1100.0000,420.0000,100.0,1,1,1,1,cii-014,0.0306,18.3241,-221.1281,221.1281,7237293.4212,59.1287,0.5744509,0.7947537,0.8276283,0.4801931,0.8966422,0.6582154
